Recursive Rollout Performance
| Seed | Variant | MSE@1 | MSE@2 | MSE@3 | Long MSE |
|---:|---|---:|---:|---:|---:|
| 17 | baseline | 0.4308 | 0.4907 | 0.4162 | 0.4535 |
| 17 | rhrt | 0.4433 | 0.4917 | 0.4242 | 0.4580 |
| 17 | rhrt_ensemble | 0.4196 | 0.4426 | 0.3889 | 0.4158 |
| 29 | baseline | 0.4378 | 0.4985 | 0.4274 | 0.4630 |
| 29 | rhrt | 0.4432 | 0.5081 | 0.4461 | 0.4771 |
| 29 | rhrt_ensemble | 0.4303 | 0.4541 | 0.3865 | 0.4203 |
| 7 | baseline | 0.4319 | 0.5046 | 0.4331 | 0.4689 |
| 7 | rhrt | 0.4551 | 0.4769 | 0.4154 | 0.4462 |
| 7 | rhrt_ensemble | 0.4247 | 0.4513 | 0.3975 | 0.4244 |
